50,35,8.17,5.19,1.21,0.98,1.23,0.02,2.29,0.14,26,22,CANTALOUP
38,21,8.49,4.51,1.9,0.87,1.09,0.8,1.58,0.42,38,11,CARCASE MEAT
31,20,10.86,4.94,2.11,0.21,1,0.61,1.21,0.22,36,18,CARNATION
76,11,9.7,4.94,1.33,0.59,1.09,0.73,2.85,0.35,31,10,CAROB
80,34,7.75,5,0.67,0.03,0.68,0.69,1.78,0.58,34,12,CARROT
30,21,9.67,4.65,1.88,0.11,1.26,0.57,0.95,0.44,27,16,CASHEW
23,23,8.15,5.46,0.36,0.27,0.76,0.4,0.91,0.55,34,20,CASUARINA
78,19,11.51,6.31,1.95,0.73,1.22,0.36,1.97,0.41,27,24,CATTLE
46,21,6.98,4.54,0.67,0.39,0.86,0.55,2.62,0.33,33,16,CAULIFLOWER
69,17,11.62,5.17,0.48,0.41,1.7,0.14,1.99,0.91,30,23,CELERIAC
30,11,12.45,6.41,1.29,0.51,1.61,0.4,2.42,0.15,36,19,CELERY
85,26,11.76,6.08,2.02,0.28,1.56,0.18,1.07,0.82,38,20,CENTAUREA
89,22,10.4,4.63,0.56,0.11,0.9,0.76,1.24,0.75,27,12,CEREALS
30,28,9.81,5.22,0.46,0.47,0.79,0.64,1.44,0.61,37,20,CHAMDURIEA
38,28,9.96,6.12,0.37,0.78,0.94,0.48,2.43,0.47,25,21,CHARD
88,13,9.58,4.87,1.51,0.38,1.71,0.55,2.46,0.08,25,17,CHEESE
38,26,12.44,5.08,1.85,0.75,1.41,0.15,1.13,0.58,30,15,CHERBIL
75,29,12.11,5.74,0.95,0.79,1.07,0.45,1.05,0.74,38,23,CHERRY
81,15,7.64,6.21,1.34,0.86,0.9,0.65,0.92,0.39,29,20,CHESTNUTS
86,18,6.88,5.43,0.49,0.62,0.97,0.59,2.65,0.4,28,11,CHESTRUM
86,34,9.5,5.82,0.8,0.43,0.98,0.72,0.92,0.56,29,13,CHICK PEA
61,16,7.18,5.94,1.64,0.85,1.61,0.16,2.22,0.1,25,12,CHICORY
44,17,11.33,5.85,1.34,0.31,0.79,0.27,2.54,0.62,28,21,CHILI PEPPER
20,13,7.07,5.23,1.9,0.66,1.24,0.42,1.29,0.38,36,13,CHINESE CABBAGE
44,25,6.99,5.57,0.81,0.74,1.35,0.35,1.7,0.65,30,19,Chinese sprouts
72,33,8.73,4.71,1.52,0.82,1.56,0.84,2.38,0.48,36,14,CHIVES
63,38,10.62,4.99,2.1,0.79,0.91,0.38,1.57,0.18,35,18,CHIX
51,29,6.89,5.25,2.2,0.37,0.94,0.19,2.28,0.11,36,12,CHRYSANTHEMUM
75,11,8.82,6.39,1.79,0.62,0.9,0.43,2.29,0.6,32,13,CINERARIA
86,25,8.07,5.65,0.7,0.24,0.75,0.13,1.72,0.22,27,16,CITRON
49,12,10.15,4.68,0.58,0.77,1.47,0.23,2.29,0.58,35,17,CITRUS FRUIT
78,28,12.16,6.34,0.53,0.64,0.95,0.06,1.82,0.24,29,12,CITRUS JUICE
59,18,8.93,4.78,0.32,0.33,1.26,0.33,1.51,0.1,28,18,CLEMENTINE
34,22,11.03,6.04,1.33,0.97,0.69,0.42,1.75,0.33,38,16,CLOVER
35,10,11.52,5.03,0.82,0.12,0.77,0.18,2.77,0.75,35,16,COCOA BUTTER
69,14,8.77,6.05,0.34,0.3,1.09,0.73,1.28,0.6,37,18,COCOA MASS
36,15,9.63,5.84,1.23,0.22,0.97,0.67,2.11,0.26,32,24,COFFEE BEANS
36,17,10.31,4.77,1.56,0.84,0.7,0.8,2.79,0.48,32,22,COLD STORAGE ROOMS
22,21,7.16,4.93,0.6,0.68,1.13,0.09,2.85,0.92,34,23,COLRUTARIA
44,24,11.58,5.11,0.4,0.87,1.11,0.45,1.59,0.27,36,14,Compost
29,21,8.83,6.09,1.49,0.48,1.5,0.78,1.87,0.32,38,23,CORCHORUS OLITORIUS
53,31,7.02,5.78,1.02,0.62,0.66,0.48,1.06,0.56,34,16,CORDLYN
88,36,9.08,5.67,0.15,0.17,1.6,0.22,2.65,0.36,30,13,CORIANDER
65,27,8.85,5.7,0.56,0.03,0.93,0.22,2,0.73,30,24,CORN
45,14,10,6.03,0.49,0.03,1.26,0.69,1.05,0.17,34,16,COTONEASTER
32,18,9.36,4.88,0.68,0.09,0.69,0.04,0.88,0.37,30,10,COTTON
24,20,8.59,4.73,0.78,0.07,1.02,0.63,2.22,0.78,29,17,COTTON FORAGE
78,35,11.36,4.78,0.65,0.65,1.52,0.13,2.82,0.94,30,21,COTTONSEED OIL
86,17,11.51,6.05,1.89,0.66,1.24,0.31,1.95,0.05,35,19,COWPEA
76,37,7.36,4.62,0.51,0.14,1.35,0.59,1.15,0.64,26,19,CROTON
74,25,8.26,5.01,1.42,0.76,1.67,0.1,1.7,0.72,34,15,CUCUMBER
25,20,7.99,5.79,0.27,0.34,0.75,0.35,2.5,0.45,28,17,CUCURBITS
41,10,7.67,4.62,1.69,0.41,1.08,0.25,1.12,0.41,30,11,CUPRESSUS
26,21,10.5,4.71,1.11,0.71,0.68,0.02,1.02,0.32,32,23,CURRANT
80,33,11.58,5.45,1.3,0.14,0.72,0.1,2.78,0.75,30,22,CYMBOPOGON
24,22,10.53,5.4,0.48,0.94,1.05,0.01,1.46,0.51,29,12,DAHLIA
68,38,12.14,5.43,1.58,0.58,1.12,0.08,1.77,0.48,26,13,DASTERIUM
65,16,10.78,5.37,0.53,0.16,1.53,0.25,1.6,0.13,30,21,DATE
24,15,8.53,6.15,2.19,0.32,0.77,0.35,1.93,0.68,30,19,DECIDUOUS FRUIT TREES
54,38,10.64,5.19,1.18,0.61,1.02,0.14,2.35,0.57,37,11,DELBARGIA
49,17,8.61,4.76,1.09,0.14,1.35,0.19,1.07,0.59,31,17,DELICHIOZA
53,19,9.26,5.8,1.5,0.72,1.09,0.64,2.33,0.37,35,11,DELPHINIUM CONSOLIDA
63,16,10.17,6.45,1.27,0.48,0.66,0.17,1.93,0.33,34,17,DETACHED ROOT BED
30,27,12.29,4.78,2.12,0.37,1.17,0.79,1.24,0.05,36,24,DEWBERRIES
37,16,10.85,4.8,2.24,0.09,1.08,0.37,2.24,0.51,30,15,DIFFENBACHIA
41,17,11.11,4.79,0.71,0.09,1.13,0.63,0.98,0.29,26,21,DILL
56,10,10.4,4.63,1.58,0.7,1.78,0.4,2.78,0.08,32,10,DRACAENA SP.
59,26,9.53,5.19,1.03,0.02,1.49,0.24,1.93,0.52,33,15,DRAGONFRUIT
79,35,10.05,4.6,0.73,0.56,1.55,0.09,2.11,0.69,30,10,DRAINAGE TRENCH
65,21,11.11,6.01,0.26,0.47,1.79,0.44,2.49,0.86,28,16,DRIED FISH
81,36,10.25,5.07,1.33,0.44,1.68,0.13,2.69,0.15,31,10,DRIED FOOD
89,38,7.93,5.61,2.11,0.14,0.98,0.75,1.22,0.81,34,22,DRIED FRUIT
64,39,10.3,4.82,1.48,0.25,1.81,0.09,1.37,0.9,35,20,DRIED VEGETABLES
65,13,8.24,6.12,1.4,0.52,1.65,0.08,1.46,0.05,33,24,DURANTA
83,35,10.9,5.96,2.25,0.58,1.29,0.17,2.72,0.45,29,19,EASTER LILY
81,16,10,5.74,1.72,0.94,0.87,0.53,2.21,0.21,32,16,EASY PEALER
62,26,11.31,6.04,2.24,0.38,1.66,0.58,2.37,0.23,36,15,ECHINOPS SP.
24,10,11.86,6.2,0.44,0.54,1.46,0.6,2.42,0.38,27,14,EDIBLE OFFAL
20,11,9.45,5.57,1.77,0.29,0.93,0.67,1.44,0.51,38,14,EDIBLE VEGETABLE OIL
79,14,11.28,5.1,0.15,0.54,1.19,0.13,2.63,0.6,30,23,EGG PLANT
61,21,6.62,5.37,2.08,0.08,0.74,0.61,2.41,0.12,33,21,EGGS
56,38,7.09,6.47,2.09,1.01,0.92,0.44,2.78,0.95,30,14,"ENDIVES, CHICORY"
75,32,9.33,5.82,2.12,0.93,1.73,0.46,2.43,0.51,27,13,ESTRAGON
29,20,8.92,6.35,2.01,0.45,1.84,0.82,1.03,0.56,35,12,EUCALYPTUS
76,28,9.35,5.87,2.05,0.36,1.46,0.25,1.14,0.64,33,23,EUONYMUS
81,29,8.59,4.91,1.37,0.53,0.68,0.13,1.57,0.68,30,17,EUPHORBIA
55,39,8.61,5.81,0.38,1.01,1.54,0.57,2.48,0.65,34,21,EUROPEAN PLUM
43,24,6.62,4.74,1.76,0.79,0.81,0.75,2.73,0.26,37,13,EVONIMUS
85,18,7.46,6.14,0.22,0.52,0.69,0.23,2.05,0.34,30,24,FALLOE
31,17,12.13,4.61,0.79,0.86,1.48,0.45,1.68,0.67,37,13,FAT
65,23,11.06,5.87,1.55,0.28,1.48,0.61,2.48,0.65,32,23,FEIJOA
80,15,8.85,6.13,0.26,0.75,0.84,0.33,1.9,0.56,29,20,FENNEL
46,22,7.37,4.57,1.32,0.03,1.82,0.13,2.69,0.28,29,23,FERNS
24,13,11.81,5.29,1,0.08,1.81,0.14,2.05,0.15,31,13,FICUS
59,40,8.09,5.23,2.13,0.05,1.58,0.74,2.68,0.8,32,12,FICUS PUMILA
33,13,7.81,5.17,0.17,0.07,0.71,0.85,1.88,0.23,26,13,FIELD CROPS
68,26,6.52,6.25,0.82,0.46,0.92,0.74,1.54,0.38,29,10,FIELD PREPARATION
20,10,12.21,6.25,0.64,0.3,1.76,0.39,1.8,0.84,35,17,FIG
55,12,8.88,5.66,0.38,0.4,1.14,0.55,2.72,0.31,29,14,FILBERT
49,22,7.89,4.94,0.34,0.3,1.27,0.48,1.16,0.7,34,14,FISH
79,32,7.51,5.17,1.17,0.27,1.82,0.77,2.26,0.37,26,22,FISH PONDS
72,18,7.35,4.75,1.63,0.56,1,0.25,2.22,0.74,38,11,FISTACHIA
24,15,10.53,4.58,1.6,0.62,0.89,0.75,2.83,0.84,36,18,FLAX
50,38,11.26,4.83,0.31,0.89,1.01,0.18,1.19,0.55,31,10,FLOUR
57,16,7.86,4.54,0.17,0.2,1.15,0.56,1.13,0.7,34,12,FLOWERS
71,40,11.22,6.42,1.64,0.76,1.17,0.3,0.9,0.91,27,16,FODDER
41,27,10.09,6.19,2.03,0.72,1.83,0.76,2.82,0.49,34,20,FODDER BEET
29,11,11.59,5.82,0.92,0.86,0.7,0.11,1.26,0.95,27,24,FORAGE CORN
49,22,8.01,6.35,0.74,0.58,1.78,0.42,2.4,0.32,33,16,FORAGE CROPS
89,38,7.93,5.51,0.42,0.03,1.08,0.22,2.04,0.39,30,23,FOREST
43,14,9.78,5.49,1.19,0.26,1.31,0.68,2.36,0.86,36,19,FRENCH BEAN
31,20,10.52,6.35,2.07,0.09,1.38,0.82,2.46,0.16,38,20,FRUITING VEGETABLE
29,10,10.56,4.94,2.24,0.14,1.17,0.24,1.92,0.67,27,12,FRUITS
47,19,10.11,6.08,0.59,0.17,1.1,0.08,2.11,0.16,37,20,FUCHSIA
50,29,11.48,4.57,0.94,0.74,0.71,0.56,2.35,0.05,25,21,GARDINIA
29,19,11.58,5.79,0.74,0.49,0.8,0.51,1.01,0.57,25,17,GARLIC
25,15,9.25,4.57,0.24,0.54,1.54,0.61,2.24,0.1,30,15,GERANIUM
59,20,11.24,4.85,0.65,0.31,1.57,0.84,1.29,0.49,38,23,GERBERA
77,17,8.46,5.56,1.76,0.37,0.99,0.5,2.59,0.23,29,20,GHERKIN
20,19,10.56,4.73,1.38,0.84,1.66,0.02,2.62,0.77,28,11,GINGER
52,19,10.16,5.97,2,1.01,0.93,0.72,2.82,0.18,29,13,GLADIOLI
50,26,12.24,6.46,1.62,0.31,1.08,0.29,2.29,0.26,25,12,GLOBOLARIA
55,26,10.61,5.13,0.68,0.14,0.67,0.83,1.4,0.39,28,21,GLOXINIA
47,22,7.92,4.99,1.61,0.54,0.71,0.35,0.89,0.38,36,13,GOAT
24,10,8.41,6.33,1.43,0.7,1.73,0.48,2.19,0.84,30,19,GODETIA
66,23,9.43,4.77,1.27,0.34,1.07,0.47,2.39,0.18,36,14,GODTIA
68,28,9.76,6.08,1.77,0.34,1.5,0.85,1.87,0.04,35,18,GOOSEBERRY
88,14,9.27,5.93,0.97,1.01,1.24,0.75,2.81,0.7,36,12,GRAIN CORN
42,20,12.01,6.34,1.64,0.49,1.59,0.15,0.93,0.32,32,13,GRAINS
22,10,6.9,6.42,1.38,0.31,1.08,0.44,2.58,0.2,27,16,"GRAINS, STORAGE"
81,27,10,4.74,1.69,0.36,1.15,0.57,2,0.04,35,17,GRAPE POMACE
78,38,8.63,6.25,0.75,0.18,1.27,0.61,0.91,0.89,29,12,GRAPEFRUIT
62,36,7.51,4.58,0.17,0.42,1.48,0.36,1.16,0.22,28,18,GRAPES
60,40,12,5.91,2.13,0.23,1.04,0.46,2.74,0.46,38,16,GRASS
60,33,6.55,6.26,1.89,0.37,1.37,0.78,1.1,0.64,35,16,GRAZING LAND
22,16,7.93,5.3,1.87,0.33,1.21,0.44,1.39,0.41,37,18,GREVILLEA
75,12,10.82,4.83,0.76,0.07,0.74,0.12,2,0.45,32,24,GUAVA
32,11,6.9,4.65,1.24,0.98,1.79,0.68,2.53,0.51,32,22,GYPSOPHILA
77,20,7.6,4.82,0.99,0.91,0.83,0.49,1.66,0.47,34,23,HAY
38,31,8.57,5.62,2.18,0.41,1.75,0.19,0.95,0.85,36,14,HAZELNUTS
27,23,11.82,5.36,0.97,0.54,1.28,0.23,2.51,0.08,38,23,HEDERA
40,18,9.28,4.55,0.43,0.92,1.3,0.77,1.25,0.06,34,16,HELIANTHUS
53,17,9.14,6.27,1.7,0.48,1.52,0.24,2.27,0.55,30,13,HELIANTHUS TUBEROSUS
90,27,7.41,5.48,1.29,0.91,1.39,0.62,0.91,0.05,30,24,HERBS
20,13,7.02,6.45,0.42,0.6,0.82,0.25,0.94,0.87,34,16,HIBISCUS
64,37,11.14,6.25,2.02,0.52,1,0.52,2.36,0.87,30,10,HILBA
52,40,11.74,5.6,0.74,0.04,1.27,0.48,2.48,0.37,29,17,HIPPEASTRUM
84,16,9.56,6.43,0.23,0.38,1.47,0.67,1.81,0.84,30,21,HOGS
23,21,9.08,6.37,2.15,0.9,0.93,0.32,1.39,0.79,35,19,HONEY
86,17,11.63,5.57,1.16,0.31,0.77,0.42,2.24,0.69,26,19,HOPS
62,32,9.83,6.07,0.49,0.54,1.1,0.63,1.66,0.78,34,15,HORSERADISH
21,19,7.9,5.47,2.06,0.78,0.91,0.8,1.27,0.59,28,17,HORSES
61,19,8.05,6.12,0.15,0.14,0.82,0.64,2.38,0.88,30,11,HYDRANGEA
65,14,10.71,6.06,1.25,0.08,0.69,0.19,1.44,0.78,32,23,HYPERICUM
78,38,9.59,6.09,1.21,0.39,0.84,0.42,1.92,0.34,30,22,HYPOESTES
70,32,7.28,6.02,1.02,0.22,0.66,0.5,1.44,0.88,29,12,HYPOESTES PHYLLOSTACHY
23,11,11.1,5.23,2.03,0.37,1.77,0.29,1.49,0.55,26,13,HYSSOP
23,21,11.3,4.53,0.39,0.27,1.66,0.06,2.56,0.49,30,21,IMPETIANS
27,26,11.55,6.44,0.24,0.95,1.11,0.44,1.15,0.21,30,19,In Settlement
35,18,12.4,5.74,0.38,1.03,1.35,0.8,1.19,0.93,37,11,INDUSTRIAL CROPS
29,28,10.13,5.18,0.35,0.25,1.68,0.76,2.42,0.22,31,17,IRIS
41,35,10.12,5.34,2,0.39,1.12,0.76,2.37,0.91,35,11,IXIA
51,36,11.48,6.48,1.6,1,1.53,0.1,2.16,0.61,34,17,IXORA
76,38,9.13,5.57,0.91,0.5,1.17,0.34,2.84,0.37,36,24,JACARANDA
51,26,11.5,6.5,2.04,0.71,1.38,0.7,2.56,0.1,30,15,JANIPERUS
51,23,7.95,5.65,1.34,0.22,1.1,0.62,2.77,0.51,26,21,JAPANESE PLUM
57,23,10.41,5.43,0.22,0.2,0.69,0.03,1.44,0.22,32,10,JAPANESE RADISH
65,28,6.79,6.44,1.19,0.65,0.72,0.77,0.92,0.91,33,15,JASMIN
35,19,12.04,5.34,1.47,0.44,0.76,0.84,2.31,0.35,30,10,JUJUBE CHINESE(SIMMONDSIA
76,21,7.38,5.77,0.98,0.44,0.91,0.76,2.29,0.18,28,16,KALANCHOE'
55,28,12.01,6.01,0.36,0.89,1.06,0.02,1.89,0.29,31,10,KALE
25,19,8.75,5.58,0.36,0.94,1.44,0.5,2.73,0.57,34,22,KIWI
39,30,8.86,4.64,1.93,0.93,1.67,0.47,1.72,0.79,35,20,KOCHIA
32,27,7.2,4.5,1.23,0.03,1.23,0.14,1.64,0.9,33,24,KOHLRABI
54,39,9.02,4.84,0.74,0.03,0.84,0.39,2.58,0.52,29,19,KOLEOS
42,15,11.4,5.12,1.83,0.13,1.1,0.01,2.1,0.32,32,16,KUMQUATS
25,18,6.87,5.26,1.14,0.38,1.29,0.4,2.3,0.72,36,15,LANTENA
88,30,11.79,5.12,1.06,0.8,1.34,0.03,1.82,0.59,27,14,LAWN
68,12,12.25,5.72,0.39,0.28,1.81,0.06,1.1,0.13,38,14,LEAFY VEGETABLES
46,21,6.98,4.86,1.02,0.45,0.86,0.29,1.56,0.06,30,23,LEEK
63,33,7.83,5.82,0.27,0.5,0.87,0.08,2.37,0.68,33,21,LEGUME OILSEEDS
58,10,8.48,5.72,0.37,0.31,1.76,0.26,2.28,0.94,30,14,LEGUME SEEDS
87,39,9.21,4.99,1,0.82,1.02,0.77,2.4,0.44,27,13,LEGUME VEGETABLE
38,22,11.26,5.35,1.77,0.34,0.77,0.02,2.5,0.14,35,12,LEGUMS
24,18,6.77,6.49,1.86,0.85,1.21,0.46,1.67,0.94,33,23,LEMONS
77,14,11.49,5.45,1.34,0.47,0.94,0.79,2.77,0.23,30,17,LENTILS
35,18,12.44,5.3,1.03,0.36,1.57,0.17,2.74,0.52,34,21,LEPIDIUM RUDERALE
80,34,8.35,4.74,0.16,0.48,1.82,0.04,1.77,0.13,37,13,LEPTOSPERMON
41,28,9.87,4.93,2,0.46,1.27,0.63,1.69,0.63,30,24,LEPTOSPERMUM
81,23,11.11,5.02,2.23,0.9,0.8,0.07,1.95,0.03,37,13,LETTUCE
30,17,8.75,5.91,1,0.7,1.54,0.27,2.06,0.86,32,23,LIATRIS
59,21,11.24,5.35,0.22,0.49,0.94,0.19,1.6,0.75,29,20,LICHEE
77,25,9.4,6.04,1.03,0.36,0.97,0.58,2.54,0.89,29,23,LILIUM
61,22,11.09,5.35,1.19,0.31,0.98,0.74,2.2,0.94,31,13,LIMES
59,31,11,5.29,0.77,0.86,1.67,0.31,1.11,0.7,32,12,LIMONIUM SENUATUM
45,37,12.27,5.26,1.27,0.18,1.59,0.21,1.51,0.84,26,13,LIMONIUM SP
37,22,7.24,4.77,0.99,0.53,0.86,0.25,1.65,0.45,29,10,LIMQUAT
37,10,9.61,5.43,0.82,0.19,1.84,0.33,1.21,0.75,35,17,LINSEED
32,27,8.73,4.57,0.7,0.63,1.61,0.04,1.58,0.63,29,14,LINSEED OIL
86,21,7.91,6.01,0.59,0.46,1.29,0.25,2.36,0.87,34,14,LISIANTUS
72,13,10.82,5.82,2.02,0.23,1.69,0.73,1.49,0.52,26,22,LOQUAT
40,20,11.56,5.95,1.97,0.05,1.25,0.44,0.97,0.94,38,11,LOVAGE
22,15,6.59,6.05,2.22,0.69,0.66,0.29,1.67,0.42,36,18,LUISA
40,29,7.06,6.31,0.51,0.92,1.49,0.62,2.54,0.17,31,10,LYATHYRUS OBORATUS
56,39,7.66,5.67,1.36,0.4,0.82,0.48,1.89,0.56,34,12,LYGUSTRUM
50,31,8.62,6.22,1.13,0.77,1.43,0.64,2.3,0.6,27,16,LYSIMACHIA
24,21,6.73,5.24,1.88,0.33,0.93,0.62,1.22,0.36,34,20,MACADAMIA NUTS
37,24,7.53,4.91,1.67,0.56,1.35,0.84,1.4,0.04,27,24,MACROPHYLLA
27,24,11.45,5.22,0.36,0.23,1.15,0.62,1.16,0.1,33,16,MAIZ OIL
50,19,12.16,5.05,0.72,0.55,0.67,0.08,0.96,0.18,30,23,MAMMALIAN
20,14,7.57,5.41,0.77,1.05,0.98,0.3,1.44,0.22,36,19,MANDARIN
64,14,11.11,6.04,2.16,0.5,1.2,0.11,2.24,0.67,38,20,MANDEVILLA
35,24,11.61,5.71,1.39,0.18,1.78,0.65,2.84,0.27,27,12,MANGO
38,22,8.25,6.16,0.96,0.12,1.81,0.04,1.27,0.35,37,20,MARJORAM
76,15,10.42,5.77,2.1,0.54,0.68,0.7,1.4,0.24,25,21,MASANJANA
73,23,11.23,6.23,0.27,0.37,1.62,0.85,2.36,0.27,25,17,MATRICARIA
31,29,8.06,5.59,1.35,0.37,0.77,0.2,2.49,0.74,30,15,MATTHIOLA
80,39,8.41,6.28,2.25,0.51,1.73,0.04,2.25,0.9,38,23,MEAT
30,24,11.78,4.79,1.96,0.14,0.98,0.29,1.22,0.3,29,20,MELALEUCA
52,33,7.24,5.27,1.02,0.25,1.07,0.79,2.35,0.93,28,11,MELISA
27,19,8.72,5.69,0.31,0.58,0.76,0.03,1.95,0.26,29,13,MELON
33,30,10.87,5.45,1.01,0.49,1.13,0.61,2.1,0.17,25,12,MICROMERIA FRUTICOSA
